TUMOUR,N40554,R00884,AA489861,T50661,AA055368,AA455094,AA599116,AA670107,AA458932,T71606,R48231,H59620,AA158258,N48302,W31688,AA487428,N55187,N20820,AA486332,T63362,W72596,AA430503,N33228,AA490996,AA055101,AA456654,AA504348,N80922,W69094,AA453749,AA045074,R31679,AA490462,AA018979,W67316,AA461091,N95761,AA608582,T68113,N23047,W53015,AA455225,R15791,AA490737,AA625890,W42451,AI668697,AA459407,AA461092,AA700419
2,0.683,-1.78,0.597,-0.263,-2.347,0.023,-2.146,-1.87,-0.835,0.372,0.022,-1.277,-0.026,0.37,0.227,-0.318,0.867,0.654,-0.399,0.607,-0.327,-0.123,2.081,-2.503,-0.55,1.137,-1.905,0.489,-0.598,-1.139,-0.815,2.354,0.613,1.375,1.067,1.151,1.855,-1.208,1.253,-0.359,-0.349,-0.363,0.335,-0.282,3.861,0.486,0.934,0.258,-0.06,0.886
1,0.619,-1.229,0.982,0,0.633,0.64,-2.091,-0.897,-1.474,-0.772,0.512,-1.203,-1.275,0.504,0.155,-0.665,1.348,0.035,-0.24,0.325,0.704,-1.173,2.447,-1.192,-0.2,1.436,-1.6,0.444,-0.684,-1.782,-1.024,6.013,2.414,1.113,0.807,1.439,1.112,-1.265,0.48,-0.496,-0.197,-0.07,1.523,-0.591,1.68,-0.094,-0.149,-0.307,-0.524,1.132
2,0.22,-2.453,0.02,-0.197,-3.762,-0.006,-0.953,-1.545,0.012,0.167,-0.493,-2.555,-1.96,-1.816,-2.772,0.277,-0.666,-0.324,1.585,0.027,0.321,0.02,-0.355,-3.924,-2.068,-0.674,-3.328,-1.002,-1.821,-1.641,-2.213,2.138,1.968,-2.202,-0.391,1.413,-0.795,-1.794,1.777,-1.12,-0.348,-1.361,-0.53,-1.424,0.474,-2.986,0.542,-2.557,-2.327,-0.247
2,0.768,-2.669,0.306,0.261,-4.523,-0.018,-1.985,-1.989,-1.6,1.533,-0.154,-2.822,-1.2,-0.33,-0.515,-1.309,1.719,0.994,0.007,0.854,0.041,-1.057,2.972,-3.405,-0.56,1.09,-1.524,-0.298,-0.95,-1.542,-1.159,-0.599,2.098,-0.081,1.801,1.52,0.49,-0.867,0.933,-0.707,-0.664,-0.346,0.825,-0.106,4.915,-0.177,-0.416,0.411,0.479,0.846
2,0.9,-0.671,0.941,0.315,-1.766,0.371,-2.443,-1.005,-2.131,-0.334,0.311,-1.161,-0.819,0.814,0.677,-1.628,1.449,0.594,-1.175,0.336,0.047,-1.226,2.679,-1.395,-0.232,1.497,-1.606,0.793,-0.207,-1.715,-0.981,3.375,1.589,1.561,1.077,1.59,1.419,-1.328,1.411,-0.337,0.004,-0.068,-0.5,-0.089,2.931,0.522,0.501,0.229,-0.179,1.419
2,0.836,-1.97,0.966,0.571,-2.112,0.534,-1.905,-1.842,-0.65,0.511,0.101,-1.657,-1.012,0.187,-0.098,-1.022,0.691,0.856,-0.478,0.332,-0.205,-1.033,1.741,-2.671,-1.686,1.288,-0.925,-0.624,-0.425,-1.3,-0.841,3.519,1.875,0.421,0.557,0.637,1.715,-1.523,1.798,-0.01,-0.061,-0.776,-0.2,-0.494,1.363,-0.234,-0.212,-0.188,-0.235,1.688
2,1.238,-2.044,1.056,0.583,-2.345,0.697,-1.984,-1.747,-0.763,0.629,-0.101,-1.719,-1.912,0.206,-0.094,-0.906,1.169,0.898,-0.518,0.765,0.419,-0.461,2.549,-2.213,-0.669,1.205,-0.989,1.006,0.04,-0.916,-1.124,3.353,1.518,1.877,1.116,1.512,2.23,-1.374,2.328,0.228,-0.497,-0.558,3.461,-0.333,0.827,-0.515,-0.42,0.535,-0.641,1.509
1,1.161,-0.723,0.825,0.07,-1.249,0.736,-2.619,-2.785,-1.632,0.161,0.515,-0.802,-0.675,0.188,0.304,-1.269,1.264,0.938,-0.755,0.718,0.243,-1.232,3.012,-2.644,-0.512,0.903,-2.354,0.973,-0.794,-2.316,-0.822,4.11,1.299,0.993,0.854,2.847,1.796,-1.736,1.337,-0.405,-0.528,-0.323,0.738,-0.796,1.558,0.018,0.214,-0.463,-0.809,0.806
2,1.179,0.309,0.958,0.453,-1.879,0.668,-1.937,-3.075,-0.717,0.106,0.251,-1.423,-1.116,-0.088,-0.329,-0.61,0.752,0.482,-0.571,0.945,0.715,0.013,2.577,-2.255,0.002,0.994,-1.088,0.659,-0.02,-1.128,-0.973,3.896,2.285,1.735,0.8,3.004,2.908,-1.771,1.287,-0.081,0.03,-0.445,2.653,-0.296,1.973,0.608,0.248,0.46,-0.661,1.104
1,0.47,-1.556,1.117,-0.007,0.21,0.941,-2.742,-2.679,-1.953,0.04,0.958,-2.081,-0.542,0.552,0.154,-1.96,0.956,0.095,-1.308,0.654,0.554,-1.046,2.363,-1.274,-0.077,1.398,-1.656,0.448,-0.64,-1.959,-1.029,5.891,2.474,1.603,1.107,1.094,1.58,-1.545,0.797,-0.266,0.13,0.433,0.404,-0.506,1.805,-0.059,-0.65,-0.419,-0.181,1.433
